id_pelicula,titulo,clasificacion,duracion,genero,sinopsis,dir_img
M_1,Avengers EndGame,B15,181,Acción,Los Vengadores idean un plan para traer de regreso a sus aliados vencidos para un enfrentamiento épico con Thanos.,M_1.jpg
M_2,Monsters INC,AA,92,Infantil,"Monsters, Incorporated es la fábrica de sustos más grande en el mundo de los monstruos y James P. Sullivan es uno de sus mejores asustadores. Sullivan es un monstruo grande e intimidante de piel azul con grandes manchas color púrpura y cuernos. Su asistente, mejor amigo y compañero de cuarto es Mike Wazowski, un pequeño y alegre monstruo verde con un solo ojo. Por una falla durante la jornada de trabajo, conocen a Boo, una niña pequeña que entra a un mundo donde los humanos no están permitidos.",M_2.jpg
